Simple Production Data Report
Start date:,2/21/2025 12:00:00 AM
End date:,3/20/2025 12:00:00 AM

Timestamp,University of San Diego - Alcala Borrego,University of San Diego - Alcala Laguna,University of San Diego - Camino Hall,University of San Diego - Copley Library,University of San Diego - Founders Hall,University of San Diego - Jenny Craig Pavillion,University of San Diego - Kroc,University of San Diego - Manchester A,University of San Diego - Manchester B,University of San Diego - Soles,University of San Diego - West Parking
,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy
,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh
2/22/2025 1:00:00 PM,15.0212637562299,15.7237347775372,43.25,37.8379396984819,135.375,0,0.25,40.125,0,94.6153738840949,110.740037375013
2/22/2025 2:00:00 PM,12.8448662877217,12.2803194676526,33.125,29.1309938998311,103.8125,0,0,33.5,0,56.4712952410337,85.8929166666931
2/22/2025 3:00:00 PM,9.04032552083208,7.65885416668607,21.75,20.8137297182693,70.6875,0,0,25.125,0,39.7837475414854,64.6362126246095
2/22/2025 4:00:00 PM,1.59127335963512,2.21895867935382,7.375,6.47203831654042,24.4375,0,0,11.25,0,14.6283347210847,31.2470833330881
2/22/2025 5:00:00 PM,0.141269224895041,0.156457987322938,0.625,0.56062500004191,1.375,0,0,1.125,0,2.00124861230142,4.00291666691191
2/22/2025 6:00:00 PM,0.0361328124990905,0.0625,0,0.0625,0,0,0,0.125,0,0.124860956799239,0.125
2/22/2025 7:00:00 PM,0.0380695027843103,0,0,0,0,0,0,0,0,0.00013904320076108,0.25
2/22/2025 8:00:00 PM,0.0356574439374526,0.03125,0,0,0,0,0.25,0,0,0,0
2/22/2025 9:00:00 PM,0.0380957355682767,0,0,0.03125,0,0,0,0.125,0,0.125,0.25
2/22/2025 10:00:00 PM,0.0376008790153719,0.0625,0,0.03125,0.125,0,0,0,0,0.125,0
2/22/2025 11:00:00 PM,0.0380793835338409,0,0,0.03125,0,0,0.25,0.125,0,0,0.25
2/23/2025 12:00:00 AM,0.0380924914652496,0.03125,0,0,0,0,0,0,0,0.125,0.125
2/23/2025 1:00:00 AM,0.0380924479168243,0.03125,0.125,0.03125,0,0,0,0.125,0,0,0.125
2/23/2025 2:00:00 AM,0.0390625,0.03125,0,0,0,0,0.25,0,0,0.25,0
2/23/2025 3:00:00 AM,0.0380729166663514,0,0,0,0.125,0,0,0.125,0,0,0.125
2/23/2025 4:00:00 AM,0.0400390189524842,0.03125,0,0.03125,0,0,0,0,0,0,0.125
2/23/2025 5:00:00 AM,0.0390435459385117,0.03125,0,0.03125,0,0,0,0,0,0.125,0.125
2/23/2025 6:00:00 AM,0.0380854038594407,0.0625,0.25,0.0041977611836046,0.25,0,0.5,0.125,0,0,0.375
2/23/2025 7:00:00 AM,1.08865159665311,1.46771006367635,7.25,3.99736473883968,17.9375,0,14.25,9.5,0,7.12222222238779,17.125
2/23/2025 8:00:00 AM,6.06282952313904,6.90603993635159,26.75,24.7178124999627,80.4375,0,12.75,23.25,0,44.5027777776122,53.1133720928337
2/23/2025 9:00:00 AM,10.7537551153273,12.4056249999558,38.125,33.4340625000186,118.125,0,2,24,0,61.8196580372751,82.8866279071663
2/23/2025 10:00:00 AM,13.8378301711309,15.312187500007,44.5,39.211198178411,139.5,0,0.25,37.875,0,64.9197864071466,104.857083333423
2/23/2025 11:00:00 AM,16.1158447265625,16.9685416666907,47.5,42.1941143215518,150.1875,0,0,42.375,0,81.0105555555783,117.872916666558
2/23/2025 12:00:00 PM,16.1632984723228,17.0626041666837,47.125,41.6825000000536,149.125,0,0,43.625,0,72.25,120.145000000019
2/23/2025 1:00:00 PM,15.2504726865309,16.000312499993,43.625,38.2065111940028,137,0,0.25,40.75,0,95.2403738840949,112.345099667669
2/23/2025 2:00:00 PM,14.0857975260415,13.2820833332953,36.375,32.1381763059762,114.4375,0,0,35.875,0,62.5880014216527,94.7657807312207
2/23/2025 3:00:00 PM,9.43480164574794,7.78104478126625,22.25,21.5038866206305,72.875,0,0,26,0,37.4216246942524,66.63911960111
2/23/2025 4:00:00 PM,1.33363910946082,2.09499688539654,7.125,6.28517587936949,23.125,0,0.25,11.375,0,17.8738901221659,31.375
2/23/2025 5:00:00 PM,0.0376562499995998,0.0313541666837409,0.25,0.21875,0.75,0,0,0.75,0,1.5011098778341,3.49958333326504
2/23/2025 6:00:00 PM,0.0410091145831757,0.0625,0,0.00374999997438863,0,0,0,0.125,0,0.125,0.000416666734963655
2/23/2025 7:00:00 PM,0.0400520833336486,0,0,0.0587500000256114,0.125,0,0,0,0,0.125,0.25
2/23/2025 8:00:00 PM,0.0409895833336122,0.03125,0,0,0,0,0.25,0.125,0,0,0
2/23/2025 9:00:00 PM,0.0410351778791664,0.03125,0,0,0,0,0,0,0,0.125,0.25
2/23/2025 10:00:00 PM,0.0400357856624396,0,0,0.03125,0.125,0,0,0.125,0,0,0
2/23/2025 11:00:00 PM,0.0419888668593558,0.03125,0.125,0,0,0,0.25,0,0,0,0.125
2/24/2025 12:00:00 AM,0.0429622724086585,0.03125,0,0.0625,0,0,0,0.125,0,0.125,0.125
2/24/2025 1:00:00 AM,0.0405322835431434,0.0625,0,0,0,0,0,0,0,0.125,0.125
2/24/2025 2:00:00 AM,0.0420068115636241,0,0,0.03125,0.125,0,0.25,0,0,0,0.125
2/24/2025 3:00:00 AM,0.04248046875,0,0,0,0,0,0,0.125,0,0.125,0.125
2/24/2025 4:00:00 AM,0.0409895398579465,0.03125,0,0.00406250002561137,0,0,0,0.125,0,0.125,0.125
2/24/2025 5:00:00 AM,0.0419986103097472,0,0,0.0584374999743886,0,0,0.25,0,0,0,0.125
2/24/2025 6:00:00 AM,0.0410156907610144,0.0625,0.25,0,0.125,0,0,0,0,0.125,0.375
2/24/2025 7:00:00 AM,1.12969801226882,1.5307291666395,7.5,4.18359375,18.9375,0,14.25,5.75,0,10.872209821362,17.6158457918791
2/24/2025 8:00:00 AM,6.02754814680247,6.81177083333023,26.25,24.3349074937869,79.421875,0,11,20,0,40.2071259221993,51.9904665003996
2/24/2025 9:00:00 AM,10.782666816086,12.5304166667047,38.375,33.7979050062131,119.234375,0,0,39.625,0,53.6706642564386,82.5033222594066
2/24/2025 10:00:00 AM,13.9607711995905,15.4372916666907,44.375,39.2674505339237,139.796875,0,0,29.25,0,84.7282186460216,104.515365448315
2/24/2025 11:00:00 AM,16.0665641759488,16.875,47.5,42.0150753768976,150.09375,0,0.25,42.375,0,70.7606702428311,116.730416666716
2/24/2025 12:00:00 PM,16.1646741383283,17.0913541666232,47.5,42.0474246231024,150.25,0,0,43.25,0,92.9884973485023,119.499583333265
2/24/2025 1:00:00 PM,15.4760932402287,16.0631319213426,44,38.6934869660763,138.140625,0,0,41,0,75.5226137626451,112.115455426159
2/24/2025 2:00:00 PM,13.6469373042955,13.0009364618454,35.625,31.66015625,112.15625,0,0.25,34.75,0,61.5724632798228,93.015377906966
2/24/2025 3:00:00 PM,9.44756656302252,7.59488995018182,22,21.078125,71.21875,0,0,25.25,0,32.5525367201772,65.7496317835758
2/24/2025 4:00:00 PM,1.463476167929,2.12687499995809,6.5,5.80818153265864,21.4375,0,0,11.375,0,20.8743055555969,30.3895348833175
2/24/2025 5:00:00 PM,0.0513089883206703,0.0626041666837409,0.5,0.363693467341363,1,0,0,0.875,0,1.50069444440305,2.25
2/24/2025 6:00:00 PM,0.0361165364574845,0.03125,0,0,0,0,0.25,0.125,0,0.125,0
2/24/2025 7:00:00 PM,0.0356445853240075,0,0,0.03125,0,0,0,0,0,0,0.25
2/24/2025 8:00:00 PM,0.037613878218508,0.03125,0,0.03125,0.125,0,0,0.125,0,0,0.125
2/24/2025 9:00:00 PM,0.0370897126686032,0.03125,0,0,0,0,0.25,0,0,0.125,0.249583333497867
2/24/2025 10:00:00 PM,0.0380859374990905,0.03125,0,0.03125,0,0,0,0.125,0,0.125,0.000416666502133012
2/24/2025 11:00:00 PM,0.0371161878256316,0.0311458333162591,0,0.03125,0,0,0,0,0,0.125,0.25
2/25/2025 12:00:00 AM,0.0380791904344733,0.0313541666837409,0.125,0,0.125,0,0,0.125,0,0,0
